topic_id,name,area
computer_science,Computer Science,General Computer Science
medicine,Medicine,General Computer Science
topic_306dc4a6,Horizontal user-facing knowledge user,Computer Science
topic_74f4f8c4,Extended needs-based concept,Computer Science
topic_faa0ffc8,Assimilated directional product,Computer Science
topic_33ef3971,Cross-group grid-enabled synergy,Computer Science
topic_135d472a,Advanced multimedia project,Computer Science
topic_20a19c4e,Centralized zero administration orchestration,Computer Science
topic_e017ee06,Focused holistic projection,Computer Science
topic_5f43d0bb,Ergonomic neutral archive,Computer Science
topic_0041bfb5,Balanced encompassing complexity,Computer Science
topic_0efd8860,Persistent local architecture,Computer Science
topic_65d5f1b6,Grass-roots dedicated knowledgebase,Computer Science
topic_ccf01d43,Mandatory grid-enabled matrix,Computer Science
topic_bf80ee43,Re-engineered human-resource emulation,Computer Science
topic_21482971,Public-key background productivity,Computer Science
topic_5ac6eec4,Quality-focused secondary data-warehouse,Computer Science
topic_241cebae,Inverse value-added interface,Computer Science
topic_d77ec994,Customer-focused web-enabled function,Computer Science
topic_eeab01f1,Optimized explicit throughput,Computer Science
topic_e601842b,Advanced neutral functionalities,Computer Science
topic_74ca2122,Quality-focused value-added system engine,Computer Science
topic_3d58f873,Progressive incremental Internet solution,Computer Science
topic_b4c90339,Seamless web-enabled challenge,Computer Science
topic_b98e8ef0,Programmable fresh-thinking forecast,Computer Science
topic_4bc3b9f4,Triple-buffered optimal toolset,Computer Science
topic_f343e659,Profound contextually-based Internet solution,Computer Science
topic_44d59249,Reverse-engineered regional budgetary management,Computer Science
topic_8836d735,De-engineered motivating monitoring,Computer Science
topic_484e0c8a,Monitored stable extranet,Computer Science
topic_a317dd5d,Public-key regional algorithm,Computer Science
topic_157f2298,Balanced national artificial intelligence,Computer Science
topic_ae72d7af,Synergized foreground matrices,Computer Science
topic_e137d940,Synergistic multi-state standardization,Computer Science
topic_6f59f3e8,Multi-tiered needs-based superstructure,Computer Science
topic_ced4b441,Team-oriented 24hour Graphical User Interface,Computer Science
topic_ae20dbf9,Persevering human-resource capability,Computer Science
topic_9d105a3f,Intuitive disintermediate complexity,Computer Science
topic_6d110f72,Managed local toolset,Computer Science
topic_4d8d9090,Balanced methodical ability,Computer Science
topic_a6112dc2,Organic solution-oriented Graphic Interface,Computer Science
topic_75299d12,Customer-focused transitional benchmark,Computer Science
topic_a51b4e52,User-centric reciprocal methodology,Computer Science
topic_943aada5,Adaptive system-worthy capability,Computer Science
topic_d38f3679,Team-oriented reciprocal moderator,Computer Science
topic_eae46aca,User-friendly composite infrastructure,Computer Science
topic_48a6bdee,Open-architected 5thgeneration neural-net,Computer Science
topic_b0d0d13c,Profound contextually-based groupware,Computer Science
topic_4596432c,Phased interactive core,Computer Science
topic_0200fd0d,Business-focused bifurcated hub,Computer Science
topic_a6bd0db2,Cross-platform disintermediate complexity,Computer Science
topic_d05723b1,Triple-buffered systematic open architecture,Computer Science
topic_852b90ee,Devolved grid-enabled Local Area Network,Computer Science
topic_a77d204c,Optimized maximized function,Computer Science
topic_412bf266,Profit-focused discrete methodology,Computer Science
topic_6e24d847,Synergistic bifurcated function,Computer Science
topic_5f824f0b,Future-proofed secondary focus group,Computer Science
topic_11e980b2,Right-sized non-volatile protocol,Computer Science
topic_ac4364e1,Cross-group bifurcated infrastructure,Computer Science
topic_b65c78aa,Reactive radical workforce,Computer Science
topic_01affe6f,Versatile tertiary synergy,Computer Science
topic_8571d95a,Polarized grid-enabled paradigm,Computer Science
topic_77db0429,Synergized fault-tolerant complexity,Computer Science
topic_8772e298,Operative discrete collaboration,Computer Science
topic_e7b51f0a,Streamlined secondary approach,Computer Science
topic_5c11910e,Ergonomic directional matrix,Computer Science
topic_2f911a8b,Function-based high-level time-frame,Computer Science
topic_3978aab7,Streamlined attitude-oriented process improvement,Computer Science
topic_cf5afc56,Synchronized value-added Graphical User Interface,Computer Science
topic_fe2060f7,Digitized 24/7 budgetary management,Computer Science
topic_c1cfb10c,Digitized logistical adapter,Computer Science
topic_cac8669d,User-friendly object-oriented neural-net,Computer Science
topic_54f10851,Centralized analyzing budgetary management,Computer Science
topic_daf3012e,Function-based discrete functionalities,Computer Science
topic_d224d601,Stand-alone non-volatile methodology,Computer Science
topic_31573f57,Horizontal discrete focus group,Computer Science
topic_783a3499,Upgradable fault-tolerant service-desk,Computer Science
topic_00ef787e,Reactive value-added workforce,Computer Science
topic_4ba5595b,Re-engineered radical open architecture,Computer Science
topic_df3261fe,Re-contextualized system-worthy artificial intelligence,Computer Science
topic_1b328fca,Multi-layered didactic encryption,Computer Science
topic_22a85afd,Optional homogeneous success,Computer Science
topic_8e2c7bf4,Persistent upward-trending access,Computer Science
topic_f535d8b4,Visionary mission-critical support,Computer Science
topic_94385656,Synergized bifurcated function,Computer Science
topic_23b1d671,Switchable transitional pricing structure,Computer Science
topic_e66f09ea,De-engineered user-facing customer loyalty,Computer Science
topic_39db9ad8,Open-architected 24/7 encryption,Computer Science
topic_45570000,Organized interactive standardization,Computer Science
topic_89d25bd6,Fundamental incremental conglomeration,Computer Science
topic_e2fb3751,Streamlined 24hour synergy,Computer Science
topic_e32b7a04,Synchronized exuding solution,Computer Science
topic_d4f379fb,Versatile bottom-line product,Computer Science
topic_f87ca730,Profound 3rdgeneration attitude,Computer Science
topic_477a3915,Reverse-engineered homogeneous artificial intelligence,Computer Science
topic_2ca0190b,Exclusive human-resource interface,Computer Science
topic_93954ef3,Function-based transitional algorithm,Computer Science
topic_28dec076,Synergized fault-tolerant strategy,Computer Science
topic_9865d514,Focused mission-critical help-desk,Computer Science
topic_c85e7318,User-friendly executive neural-net,Computer Science
topic_3cec53b2,Team-oriented full-range archive,Computer Science
topic_6c80807c,Switchable needs-based help-desk,Computer Science
topic_7b4fc790,Persistent analyzing framework,Computer Science
topic_38c37719,Implemented foreground capability,Computer Science
topic_d8e586ea,Quality-focused tangible functionalities,Computer Science
topic_986ec23f,Object-based clear-thinking concept,Computer Science
topic_d4d3baf4,Proactive intermediate array,Computer Science
topic_5f0c4df8,Decentralized 5thgeneration framework,Computer Science
topic_f0d5c4ce,Right-sized coherent methodology,Computer Science
topic_550c3314,Adaptive well-modulated forecast,Computer Science
topic_907e29e8,Optimized heuristic Graphic Interface,Computer Science
topic_d5567bae,Robust fresh-thinking strategy,Computer Science
topic_9927ff33,Horizontal holistic info-mediaries,Computer Science
topic_dff69202,Reverse-engineered bi-directional framework,Computer Science
topic_cb9b7b56,Sharable well-modulated encryption,Computer Science
topic_0778bd90,Cloned intermediate infrastructure,Computer Science
topic_e634c73d,Balanced hybrid portal,Computer Science
topic_020ba773,Intuitive value-added benchmark,Computer Science
topic_502d622d,Multi-layered coherent complexity,Computer Science
topic_37f5aedf,Diverse 3rdgeneration hub,Computer Science
topic_3ac3c71d,Business-focused web-enabled database,Computer Science
topic_e686e7a6,Face-to-face global initiative,Computer Science
topic_fca57ff2,Total leadingedge attitude,Computer Science
topic_1a9d3e45,Synergistic motivating installation,Computer Science
topic_fb2803b3,Digitized zero administration initiative,Computer Science
topic_abd890e3,Synergistic encompassing budgetary management,Computer Science
topic_2dc57aa9,Expanded optimal moderator,Computer Science
topic_d02a2864,Multi-layered radical implementation,Computer Science
topic_a8c7ffcf,Public-key user-facing algorithm,Computer Science
topic_73b6372e,Business-focused bottom-line moratorium,Computer Science
topic_1861fbdc,Ergonomic tertiary collaboration,Computer Science
topic_6103c4e7,Universal object-oriented Local Area Network,Computer Science
topic_5017e72e,User-centric foreground functionalities,Computer Science
topic_95936e2d,Profit-focused 6thgeneration Graphical User Interface,Computer Science
topic_fb0a7014,Advanced 24/7 access,Computer Science
topic_ddeeacd1,Polarized 4thgeneration time-frame,Computer Science
topic_54957382,Distributed real-time encoding,Computer Science
topic_4cf3e2ba,Secured encompassing attitude,Computer Science
topic_455fead9,Configurable multi-state intranet,Computer Science
topic_d0460b01,Expanded optimizing database,Computer Science
topic_1a452e72,Reverse-engineered full-range project,Computer Science
topic_9b423f5f,Business-focused secondary knowledge user,Computer Science
topic_ce2d7244,Innovative coherent time-frame,Computer Science
topic_c07ef1fd,Function-based fresh-thinking archive,Computer Science
topic_3299225f,Public-key encompassing policy,Computer Science
topic_ef5a0181,Robust 24hour capacity,Computer Science
topic_2e2622ad,Grass-roots grid-enabled data-warehouse,Computer Science
topic_8d1a0354,Assimilated asynchronous success,Computer Science
topic_a68029e6,Programmable eco-centric pricing structure,Computer Science
topic_44e7c637,Distributed value-added help-desk,Computer Science
topic_f4a369f0,Ameliorated methodical capacity,Computer Science
topic_216fef51,Automated attitude-oriented customer loyalty,Computer Science
